"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10266","Recombinant COVID-19 Vaccine (CHO cell, NVSI-06-08)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","National Vaccine and Serum Institute","2021","China","3 years and above","NA","Intramuscular","NA","NA","NA","NA","NA","NA","","NA","NCT04869592","https://clinicaltrials.gov/ct2/show/NCT05069129","NA"
"10267","PHH-1V","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Laboratorios HIPRA SA ","2021","Spain","18 - 39 years","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","COVID-19 subunit vaccine","NA","NCT05007509","https://www.clinicaltrialsregister.eu/ctr-search/trial/2022-000074-25/ES","NA"
"10268","COVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Vaccine and Infectious Disease Organization","2021","Canada","18 years and above","2 doses 28 days apart","Intramuscular","SWE","Spike protein of SARS-CoV-2 virus","NA","NA","Vaccine Formulation Institute","NA","NA","NA","NCT04702178","https://clinicaltrials.gov/ct2/show/NCT04702178","NA"
"10269","CoVac-1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","University Hospital Tuebingen","2021","Germany","18 years and above","Single dose","Subcutaneous","NA","SARS-CoV-2 HLA-DR peptides","NA","NA","NA","NA","IMP","33816047","NCT04954469","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10270","COVID-19 VLP vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","The Scientific and Technological Research Council of Turkey","2021","Turkey","18 - 59 years","2 doses 21 days apart","Subcutaneous","Alum adsorbed, CpG ODN","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04962893","https://clinicaltrials.gov/ct2/show/NCT04962893","NA"
"10271","Pasteur","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Instituto Finlay de Vacunas","2021","Cuba","NA","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","FINLAY-FR-2, Pasteurcovac, Pasto Covac, Soberana 02, Soberana 2","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10272","MF59 adjuvanted SARS-CoV-2 Sclamp vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","University of Queensland","2021","Australia","18 years and above","2 doses 28 days apart","Intramuscular","MF59","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","SARS-CoV-2 Sclamp","33816047","NCT04495933","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10273","Comirnaty","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","BioNTech SE, Pfizer Inc.","2020","NA","18 - 55 years","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","mRNA based vaccine","US FDA","NA","NA","BNT162b2, COVID-19 mRNA vaccine","33402220","NCT04368728","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","https://clinicaltrials.gov/ct2/show/NCT04368728"
"10274","COVID-eVax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 2","Takis, Rottapharm Biotech","2021","Italy","18 - 65 years","2 doses 4 weeks apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04788459","https://clinicaltrials.gov/show/NCT04788459","NA"
"10275","ABNCoV2","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","Radboud University","2021","Netherlands","18 - 55 years","2 doses 14 days apart","Intramuscular","MF59","NA","NA","NA","NA","NA","NA","NA","NCT04839146","https://clinicaltrials.gov/ct2/show/NCT04839146","NA"
"10276","EuCorVac-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","EuBiologics Co. Ltd.","2021","SouthÂ Korea","19 - 75 years","2 doses 3 weeks apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04783311","https://clinicaltrials.gov/show/NCT04783311","NA"
"10277","VBI-2902a","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","VBI Vaccines Inc.","2021","Canada","18 years and above","2 doses 28 days apart","Intramuscular","Aluminum (aluminum phosphate)","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04773665","https://clinicaltrials.gov/show/NCT04773665","NA"
"10278","UB-612","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","United Biomedical Inc.","2021","China","12 - 85 years","2 doses","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04773067","https://clinicaltrials.gov/show/NCT04773067","https://clinicaltrials.gov/ct2/show/NCT04683224"
"10279","COVIVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Icahn School of Medicine, Mahidol University","2021","Thailand","18 - 75 years","2 doses 28 days apart","Intramuscular","CpG 1018","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","ADAPTCOV, NDV-HXP-S vaccine, , HXP-GPOVac, Patria, ButanVac","NA","NCT04764422","https://clinicaltrials.gov/show/NCT04764422","NA"
"10280","AV-COVID-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 2","Aivita Biomedical Inc.","2020","USA","18 years and above","NA","Intranasal","GM-CSF","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","NA","NCT05007496","https://clinicaltrials.gov/show/NCT04386252","https://clinicaltrials.gov/ct2/show/NCT05007496"
"10281","AKS-452","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","University Medical Center Groningen","2021","Netherlands","18 - 65 years","NA","Subcutaneous","NA","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","NA","NCT04681092","https://clinicaltrials.gov/show/NCT04681092","NA"
"10282","GLS-5310","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 2","GeneOne Life Science Inc.","2021","SouthÂ Korea","19 - 65 years","2 doses 28 days apart","Intradermal","NA","NA","NA","NA","NA","NA","NA","NA","NCT04673149","https://clinicaltrials.gov/show/NCT04673149","NA"
"10283","MRT5500","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","Sanofi Pasteur, Translate Bio","2021","USA","18 years and above","2 doses 28 days apart","Intramuscular","NA","NA","mRNA based vaccine","US FDA","NA","NA","VAW00001","NA","NCT04847050","https://www.clinicaltrials.gov/ct2/show/NCT04847050","NA"
"10284","MVA-SARS-2-ST","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","German Center for Infection Research","2021","Germany","18 years and above","2 doses 28 days apart","Intramuscular","NA","Modified Vaccinia Virus Ankara vector expressing a stabilized SARS-CoV-2 spike protein","NA","NA","NA","NA","NA","NA","NCT04895449","https://clinicaltrials.gov/ct2/show/NCT04895449","NA"
"10285","LV-SMENP","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 2","Shenzhen Geno-Immune Medical Institute","2021","China","6 months and above","NA","Subcutaneous","NA","Covid-19 minigene SMENP and immune modulatory genes","NA","NA","NA","NA","NA","NA","NCT04276896","https://clinicaltrials.gov/show/NCT04276896","NA"
"10286","V-SARS","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Plasma based","Phase 2","Immunitor LLC","2020","Canada","18 - 65 years","NA","Oral","NA","Pooled plasma of COVID-19 patients","NA","NA","NA","NA","NA","NA","NCT04380532","https://clinicaltrials.gov/show/NCT04380532","NA"
"10287","QazVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 2","Research Institute for Biological Safety Problems","2020","Kazakhstan","18 years and above","2 doses 21 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","QazCovid-in","NA","NCT04530357","https://clinicaltrials.gov/show/NCT04530357","NA"
"10288","ZR-202-CoV","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Shanghai Zerun Biotechnology, Walvax Biotechnology, CEPI","2021","China","18 years and above","2 doses 28 days apart","Intramuscular","CpG, alum","SARS-CoV-2 protein","NA","NA","NA","NA","NA","NA","NCT04990544","https://clinicaltrials.gov/ct2/show/NCT05313022","NA"
"10289","AG0302-COVID19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 2","AnGes Inc.","2021","Japan","18 years and above","3 doses 2 weeks apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04993586","https://clinicaltrials.gov/ct2/show/NCT04993586","NA"
"10290","AAV5-RBD-S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Biocad","2021","Russia","18 - 60 years","NA","Intramuscular","NA","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","NA","NCT05037188","https://clinicaltrials.gov/ct2/show/NCT05037188","NA"
"10291","AdCLD-CoV19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Cellid Co. Ltd.","2021","SouthÂ Korea","19 - 64 years","Single dose","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04666012","https://clinicaltrials.gov/ct2/show/NCT04666012","NA"
"10292","BVRS-GamVac","MERS","Respiratory","MERS-CoV","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 2","Gamaleya Research Institute of Epidemiology and Microbiology","2021","Russia","18 - 55 years","NA","Intramuscular","NA","MERS CoV spike glycoprotein","NA","NA","Health Ministry of the Russian Federation","NA","NA","NA","NCT04130594","https://clinicaltrials.gov/ct2/show/NCT04130594?cond=MERS-CoV&phase=0123&draw=2&rank=14","NA"
"10293","GLS-5300 (INO-4700)","MERS","Respiratory","MERS-CoV","positive-sense, single-stranded RNA","DNA based vaccine","Phase 2","GeneOne Life Science Inc.","2020","SouthÂ Korea","19 - 70 years","3 doses","Intradermal","NA","MERS CoV spike glycoprotein","NA","NA","Inovio Pharmaceuticals, International Vaccine Institute","NA","GLS-5300","NA","NCT03721718","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7749790/","NA"
"10294","cAd3-EBO","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Centre Hospitalier Universitaire Vaudois","2014","Switzerland","18 - 65 years","NA","Intramuscular","NA","Zaire Ebola virus glycoprotein","Chimpanzee Adenovirus Vector expressing Zaire strain glycoprotein","NA","NA","NA","NA","27764560","NCT02289027","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287303/","NA"
"10295","DSV4","Dengue fever","Hemorrhagic","Dengue virus","positive-sense, single-stranded RNA","Subunit vaccine","Phase 2","Panacea Biotec Ltd","NA","India","2 - 60 years","NA","NA","NA","Chimeric protein containing vHBsAg,DS, unique tetravalent dengue antigen","Produced using the methylotrophic yeast Pichia pastoris","NA","NA","NA","NA","30684747","NA","https://www.sciencedirect.com/science/article/pii/S1201971219300402","NA"
"10296","rHEV","Hepatitis E","Hepatitic","Hepatitis E virus","double stranded DNA","Recombinant viral vector","Phase 2","GlaxoSmithKline","2011","USA","18 - 58 years","3 doses at regimen of 0, 1, and 6 months","NA","Aluminum (alum)","Capsid Protein ORF2","NA","NA","National Institute of Health, Novavax","NA","NA","NA","NA","https://www.who.int/immunization/sage/meetings/2014/october/4_Hepatitis_E_vaccine_pipeline_final_29_Sept_14.pdf","NA"
"10297","HSV15","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","Subunit vaccine","Phase 2","Sanofi Pasteur","2021","USA","18 - 55 years","NA","Intramuscular","NA","Wild-type HSV virus components except two proteins UL5 and UL29","NA","US FDA","National Institute of Allergy and Infectious Diseases","NA","NA","NA","NCT04222985","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates","https://clinicaltrials.gov/ct2/show/NCT04222985"
"10298","CHIKV-NoLS","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 2","NA","NA","NA","NA","Single dose","Subcutaneous","NA","N-terminal region of capsid protein","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10299","MV-CHIK","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","NA","NA","NA","NA","0.35 mL single measle vaccine dose, twice injection at day 0 and day 28","Intramuscular","NA","Measles-vectored CHIKV structural proteins","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10300","EILV/CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","NA","NA","NA","NA","8.8 log10 PFU (C57BL/6) or 8.5 log10 PFU (IFN?/?Râ€“/â€“mice) of live EILV/CHIKV, single injection","Subcutaneous","NA","EILV cDNA clone containing CHIKV structural proteins","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10301","CHIK-VLP","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","NA","NA","NA","NA","Single dose","Intramuscular","NA","C-E proteins","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10302","CHIK-VLP","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","NA","NA","NA","NA","NA","Subcutaneous","NA","CHIKV structural proteins introduced into yeast expression system","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10303","MV-CHIK","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 2","Themis Bioscience","2021","USA","21 - 65 years","2 doses 28 days apart","Intramuscular","NA","NA","NA","US FDA","Walter Reed Army Institute of Research","NA","NA","NA","NCT03807843","https://clinicaltrials.gov/ct2/show/NCT03807843","NA"
"10304","TSI-GSD-218","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 2","NA","NA","NA","NA","Single dose","NA","NA","NA","Attenuation by serial, plaque-to-plaque MRC5 cell passages","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10305","MV/Schwarz","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","NA","NA","NA","NA","NA","NA","NA","CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10306","CHIK-VLP","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","Emergent BioSolutions","2020","USA","18 - 45 years","2 doses on day 0, 29","Parenteral or mucosal route","Alhydrogel","CHIKV structural proteins (C, E3, E2, 6K, E1)","NA","US FDA","National Institute of Health, PaxVax","NA","NA","NA","NCT03483961","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://clinicaltrials.gov/ct2/show/NCT03483961"
"10307","MV-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 2","Institut Pasteur of Shanghai, Themis Bioscience","2021","NA","18 - 55 years","3 doses on day 0, 28 and 196","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT02861586","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://clinicaltrials.gov/ct2/show/NCT02861586"
"10308","MVA-mBN85B","Measles","Exanthous","Morbillivirus","negative-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Bavarian Nordic","2012","South Africa","6 months - 6 years","2 doses 4 weeks apart","Subcutaneous","NA","Attenuated Modified Vaccinia Virus Ankara, strain encoding hemagglutinin protein, fusion protein and nucleoprotein of measles virus","NA","NA","NA","NA","Rouvax","NA","NCT00891007","https://clinicaltrials.gov/ct2/show/NCT00891007?recrs=abde&cond=measles+vaccines&phase=123&draw=2&rank=3","NA"
"10309","MeMuRu-OKA","Measles, Mumps, Rubella, Varicella","Exanthous","Morbillivirus, Mumps virus, Rubella virus, Varicella-zoster virus","negative-sense, single-stranded RNA","Live-attenuated","Phase 2","GlaxoSmithKline","2016","Canada","15 months - 6 years","NA","Subcutaneous","NA","Jeryl Lynn strain, Schwarz strain, RA 27/3 strain, OKA strain","NA","NA","NA","NA","NA","NA","NCT00352898","https://clinicaltrials.gov/ct2/show/NCT00352898","https://www.clinicaltrialsregister.eu/ctr-search/trial/2005-006065-14/DE"
"10310","HIL-214 (Hillivax)","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","Takeda Pharmaceutical Company Limited","2012","USA","18 - 49 years","2 doses 28 days apart","Intramuscular","MPL, aluminium hydroxide","GI.1 Norwalk VLP and GII.4 cVLP","NA","NA","Frazier Healthcare Partners","NA","NA","NA","NCT01609257","https://clinicaltrials.gov/ct2/show/NCT01609257","NA"
